2026-07-08 06:38:46 status half-configured libsqlite3-0:amd64 3.40.1-2+deb12u2
2026-07-08 06:38:46 status installed libsqlite3-0:amd64 3.40.1-2+deb12u2
2026-07-08 06:38:46 configure libssl3:amd64 3.0.20-1~deb12u2 <none>
2026-07-08 06:38:46 status unpacked libssl3:amd64 3.0.20-1~deb12u2
2026-07-08 06:38:46 status half-configured libssl3:amd64 3.0.20-1~deb12u2
2026-07-08 06:38:46 status installed libssl3:amd64 3.0.20-1~deb12u2
2026-07-08 06:38:46 configure libnpth0:amd64 1.6-3 <none>
2026-07-08 06:38:46 status unpacked libnpth0:amd64 1.6-3
2026-07-08 06:38:46 status half-configured libnpth0:amd64 1.6-3
2026-07-08 06:38:46 status installed libnpth0:amd64 1.6-3
2026-07-08 06:38:46 configure libassuan0:amd64 2.5.5-5 <none>
2026-07-08 06:38:46 status unpacked libassuan0:amd64 2.5.5-5
2026-07-08 06:38:46 status half-configured libassuan0:amd64 2.5.5-5
2026-07-08 06:38:46 status installed libassuan0:amd64 2.5.5-5
2026-07-08 06:38:46 configure libldap-common:all 2.5.13+dfsg-5 <none>
2026-07-08 06:38:46 status unpacked libldap-common:all 2.5.13+dfsg-5
2026-07-08 06:38:46 status half-configured libldap-common:all 2.5.13+dfsg-5
2026-07-08 06:38:46 status installed libldap-common:all 2.5.13+dfsg-5
2026-07-08 06:38:46 configure libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2026-07-08 06:38:46 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2026-07-08 06:38:46 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2026-07-08 06:38:46 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2026-07-08 06:38:46 configure gnupg-l10n:all 2.2.40-1.1+deb12u2 <none>
2026-07-08 06:38:46 status unpacked gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-07-08 06:38:46 status half-configured gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-07-08 06:38:46 status installed gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-07-08 06:38:46 configure libncursesw6:amd64 6.4-4 <none>
2026-07-08 06:38:46 status unpacked libncursesw6:amd64 6.4-4
2026-07-08 06:38:46 status half-configured libncursesw6:amd64 6.4-4
2026-07-08 06:38:46 status installed libncursesw6:amd64 6.4-4
2026-07-08 06:38:46 configure libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2026-07-08 06:38:46 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2026-07-08 06:38:46 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2026-07-08 06:38:46 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2026-07-08 06:38:46 configure openssl:amd64 3.0.20-1~deb12u2 <none>
2026-07-08 06:38:46 status unpacked openssl:amd64 3.0.20-1~deb12u2
2026-07-08 06:38:46 status half-configured openssl:amd64 3.0.20-1~deb12u2
2026-07-08 06:38:46 status installed openssl:amd64 3.0.20-1~deb12u2
2026-07-08 06:38:46 configure readline-common:all 8.2-1.3 <none>
2026-07-08 06:38:46 status unpacked readline-common:all 8.2-1.3
